Permissive,Description,Logic
M7167C_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7167_Sts) OTE(M7167C_FwdPerm.Inp_Perm00) 
M7167C_FwdPerm.Inp_Perm01,,
M7167C_FwdPerm.Inp_Perm02,,
M7167C_FwdPerm.Inp_Perm03,,
M7167C_FwdPerm.Inp_Perm04,,
M7167C_FwdPerm.Inp_Perm05,,
M7167C_FwdPerm.Inp_Perm06,,
M7167C_FwdPerm.Inp_Perm07,,
M7167C_FwdPerm.Inp_Perm08,,
M7167C_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7167_Sts) OTE(M7167C_RevPerm.Inp_Perm00) 
M7167C_RevPerm.Inp_Perm01,,
M7167C_RevPerm.Inp_Perm02,,
M7167C_RevPerm.Inp_Perm03,,
M7167C_RevPerm.Inp_Perm04,,
M7167C_RevPerm.Inp_Perm05,,
M7167C_RevPerm.Inp_Perm06,,
M7167C_RevPerm.Inp_Perm07,,
M7167C_RevPerm.Inp_Perm08,,
M7168B_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7168_Sts) OTE(M7168B_FwdPerm.Inp_Perm00) 
M7168B_FwdPerm.Inp_Perm01,,
M7168B_FwdPerm.Inp_Perm02,,
M7168B_FwdPerm.Inp_Perm03,,
M7168B_FwdPerm.Inp_Perm04,,
M7168B_FwdPerm.Inp_Perm05,,
M7168B_FwdPerm.Inp_Perm06,,
M7168B_FwdPerm.Inp_Perm07,,
M7168B_FwdPerm.Inp_Perm08,,
M7168B_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7168_Sts) OTE(M7168B_RevPerm.Inp_Perm00) 
M7168B_RevPerm.Inp_Perm01,,
M7168B_RevPerm.Inp_Perm02,,
M7168B_RevPerm.Inp_Perm03,,
M7168B_RevPerm.Inp_Perm04,,
M7168B_RevPerm.Inp_Perm05,,
M7168B_RevPerm.Inp_Perm06,,
M7168B_RevPerm.Inp_Perm07,,
M7168B_RevPerm.Inp_Perm08,,
M7172C_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7172_Sts) OTE(M7172C_FwdPerm.Inp_Perm00) 
