[Numeric.0.0],,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Value,Extent,Manipulate,TreatAs,Access,ScaleTo,Sim,OnWrite,HasSP,Label,Alias,Desc,Class,FormType,LimitMin,LimitMax,LimitType,Deadband,ColType,Event1 / Mode,Event2 / Mode,Trigger1 / Mode,Trigger2 / Mode,QuickPlot / Mode,Sec / Access,Sec / Logging
RejectCount_85mm,[Sorter.404274.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_86mm,[Sorter.404276.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_87mm,[Sorter.404278.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_88mm,[Sorter.404280.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_89mm,[Sorter.404282.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_90mm,[Sorter.404284.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_91mm,[Sorter.404286.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_92mm,[Sorter.404288.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_93mm,[Sorter.404290.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_94mm,[Sorter.404292.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
RejectCount_95mm,[Sorter.404294.LONG],0,None,Signed Integer,Read Only,Do Not Scale,,,No,,,,,General,,,Automatic,,General,Disabled,Disabled,Disabled,Disabled,Disabled,Default for Object,Default for Object
